event;start_time;completion_time;source_pc<incoming>;source_pc<outgoing>;source_c<incoming>;source_c<outgoing>;source_gc<incoming>;source_gc<outgoing>;s1<incoming>;s1<outgoing>;s2<incoming>;s2<outgoing>;s3<incoming>;s3<outgoing>;d1<incoming>;d1<outgoing>;d2<incoming>;d2<outgoing>;d3<incoming>;d3<outgoing>;truck<incoming>;truck<outgoing>;turn<incoming>;turn<outgoing>;demand<incoming>;demand<outgoing>;order phone case_busy<incoming>;order phone case_busy<outgoing>;order chip_busy<incoming>;order chip_busy<outgoing>;order game case_busy<incoming>;order game case_busy<outgoing>
prod phone;0.0;2.0;;;;;;;{'action': 'order phone case', 'priority': 0};;{'action': 'order chip'};;;;;ffil phone NL;;;;;;;;;;;;;;;;
trans phone;0.0;0.0;;;;;;;;;;;;;0;;;;;ffil phone DE;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False};;;;;;;;;;
order game case<task:start>;0.0;0.0;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source game case'}
order game case<task:complete>;0.0;0.36;;;;;;{'action': 'source game case'};;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;{'action': 'source game case'};
prod phone;0.0;2.0;;;;;;;{'action': 'order phone case', 'priority': 0};;{'action': 'order chip'};;;;;ffil phone NL;;;;;;;;;;;;;;;;
_demand_generator;0.0;1.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[];[ffil phone DE@0, ffil phone DE@0, ffil phone DE@0, ffil phone DE@0, ffil phone DE@0, ffil phone DE@0];;;;;;
ffill 3;0.0;0.0;;;;;;;;;;;;;;;;;ffil phone DE;;;;;;ffil phone DE;;;;;;;
prod game;0.0;2.0;;;;;;;;;{'action': 'order chip'};;{'action': 'order game case'};;;;;ffil game NL;;;;;;;;;;;;;;
prod game;0.0;2.0;;;;;;;;;{'action': 'order chip'};;{'action': 'order game case'};;;;;ffil game NL;;;;;;;;;;;;;;
order chip<task:start>;0.0;0.0;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source chip'};;
trans phone;0.0;0.0;;;;;;;;;;;;;0;;;;;ffil phone DE;{'truck_id': 1, 'loading': True};{'truck_id': 1, 'loading': False};;;;;;;;;;
order chip<task:complete>;0.0;2.89;;;;{'action': 'source chip'};;;;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;{'action': 'source chip'};;;
order phone case<task:start>;0.0;0.0;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
ffill 3;0.0;0.0;;;;;;;;;;;;;;;;;ffil phone DE;;;;;;ffil phone DE;;;;;;;
trans phone;0.0;2.0;;;;;;;;;;;;;0;;;;;ffil phone DE;{'truck_id': 1, 'loading': True};{'truck_id': 1, 'loading': False};;;;;;;;;;
order phone case<task:complete>;0.0;0.96;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
order game case<task:start>;0.36;0.36;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source game case'}
order game case<task:complete>;0.36;5.86;;;;;;{'action': 'source game case'};;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;{'action': 'source game case'};
order phone case<task:start>;0.96;0.96;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;0.96;1.78;;{'action': 'source phone case', 'priority': 1};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
_demand_generator;1.0;2.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone DE@0, ffil phone DE@0, ffil phone DE@0, ffil phone DE@0];[ffil phone DE@1, ffil phone DE@1, ffil phone DE@1];;;;;;
order phone case<task:start>;1.78;1.78;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;
order phone case<task:complete>;1.78;3.19;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;;
ffill 3;2.0;2.0;;;;;;;;;;;;;;;;;ffil phone DE;;;;;;ffil phone DE;;;;;;;
_demand_generator;2.0;3.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone DE@1, ffil phone DE@1];[ffil game NL@2];;;;;;
ffill 2;2.0;2.0;;;;;;;;;;;;;;;ffil game NL;;;;;;;;ffil game NL;;;;;;;
prod game;2.89;4.89;;;;;;;;;{'action': 'source chip'};;{'action': 'source game case'};;;;;ffil game NL;;;;;;;;;;;;;;
order chip<task:start>;2.89;2.89;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source chip'};;
order chip<task:complete>;2.89;10.78;;;;{'action': 'source chip'};;;;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;{'action': 'source chip'};;;
_demand_generator;3.0;4.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[];[ffil game NL@3];;;;;;
ffill 2;3.0;3.0;;;;;;;;;;;;;;;ffil game NL;;;;;;;;ffil game NL;;;;;;;
order phone case<task:start>;3.19;3.19;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;3.19;5.88;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
_demand_generator;4.0;5.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[];[ffil phone DE@4, ffil phone DE@4, ffil phone DE@4, ffil phone DE@4];;;;;;
_demand_generator;5.0;6.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone DE@4, ffil phone DE@4, ffil phone DE@4, ffil phone DE@4];[ffil phone NL@5, ffil phone NL@5, ffil phone NL@5, ffil phone NL@5];;;;;;
ffill 1;5.0;5.0;;;;;;;;;;;;;ffil phone NL;;;;;;;;;;ffil phone NL;;;;;;;
ffill 1;5.0;5.0;;;;;;;;;;;;;ffil phone NL;;;;;;;;;;ffil phone NL;;;;;;;
order game case<task:start>;5.86;5.86;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source game case'}
order game case<task:complete>;5.86;5.98;;;;;;{'action': 'source game case'};;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;{'action': 'source game case'};
order phone case<task:start>;5.88;5.88;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;5.88;6.86;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
order game case<task:start>;5.98;5.98;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source game case'}
order game case<task:complete>;5.98;8.12;;;;;;{'action': 'source game case'};;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;{'action': 'source game case'};
_demand_generator;6.0;7.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone NL@5, ffil phone NL@5];[ffil game NL@6, ffil game NL@6, ffil game NL@6, ffil game NL@6];;;;;;
ffill 2;6.0;6.0;;;;;;;;;;;;;;;ffil game NL;;;;;;;;ffil game NL;;;;;;;
order phone case<task:start>;6.86;6.86;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;6.86;6.88;;{'action': 'source phone case', 'priority': 1};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
order phone case<task:start>;6.88;6.88;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;
order phone case<task:complete>;6.88;7.7;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;;
_demand_generator;7.0;8.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil game NL@6, ffil game NL@6, ffil game NL@6];[ffil phone DE@7, ffil phone DE@7, ffil phone DE@7];;;;;;
order phone case<task:start>;7.7;7.7;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;7.7;10.59;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
_demand_generator;8.0;9.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone DE@7, ffil phone DE@7, ffil phone DE@7];[ffil phone NL@8];;;;;;
_demand_generator;9.0;10.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone NL@8];[ffil phone NL@9, ffil phone NL@9];;;;;;
_demand_generator;10.0;11.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil phone NL@9, ffil phone NL@9];[ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10];;;;;;
order phone case<task:start>;10.59;10.59;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;
order phone case<task:complete>;10.59;11.7;;{'action': 'source phone case', 'priority': 1};;;;;;{'action': 'source phone case', 'priority': 0};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 0};;;;;
prod game;10.78;12.78;;;;;;;;;{'action': 'source chip'};;{'action': 'source game case'};;;;;ffil game NL;;;;;;;;;;;;;;
order chip<task:start>;10.78;10.78;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source chip'};;
order chip<task:complete>;10.78;12.78;;;;{'action': 'source chip'};;;;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;{'action': 'source chip'};;;
order game case<task:start>;10.78;10.78;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source game case'}
order game case<task:complete>;10.78;13.13;;;;;;{'action': 'source game case'};;;;;;{'action': 'source game case'};;;;;;;;;;;;;;;;;{'action': 'source game case'};
_demand_generator;11.0;12.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10, ffil game NL@10];[ffil game NL@11, ffil game NL@11, ffil game NL@11];;;;;;
order phone case<task:start>;11.7;11.7;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;
order phone case<task:complete>;11.7;13.25;;{'action': 'source phone case', 'priority': 0};;;;;;{'action': 'source phone case', 'priority': 1};;;;;;;;;;;;;;;;;{'action': 'source phone case', 'priority': 1};;;;;
_demand_generator;12.0;13.0;;;;;;;;;;;;;;;;;;;;;demand;demand;[ffil game NL@11, ffil game NL@11, ffil game NL@11];[ffil game NL@12, ffil game NL@12, ffil game NL@12, ffil game NL@12];;;;;;
ffill 2;12.78;12.78;;;;;;;;;;;;;;;ffil game NL;;;;;;;;ffil game NL;;;;;;;
order chip<task:start>;12.78;12.78;;;{'action': 'source chip'};;;;;;;;;;;;;;;;;;;;;;;;;{'action': 'source chip'};;
prod phone;12.78;14.78;;;;;;;{'action': 'source phone case', 'priority': 1};;{'action': 'source chip'};;;;;ffil phone NL;;;;;;;;;;;;;;;;
