event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>
job_arrival;191.48;203.03;{'job': 35};{'job': 36};;{'job': 35};;
job_arrival;203.03;207.38;{'job': 36};{'job': 37};;{'job': 36};;
job_arrival;207.38;216.33;{'job': 37};{'job': 38};;{'job': 37};;
transportation;207.38;207.38;;;{'job': 33};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;207.38;207.38;;;{'job': 34};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;207.38;207.38;;;{'job': 35};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;207.38;227.38;;;{'job': 36};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;216.33;220.89;{'job': 38};{'job': 39};;{'job': 38};;
job_arrival;220.89;224.42;{'job': 39};{'job': 40};;{'job': 39};;
job_arrival;224.42;231.79;{'job': 40};{'job': 41};;{'job': 40};;
job_arrival;231.79;234.41;{'job': 41};{'job': 42};;{'job': 41};;
transportation;231.79;231.79;;;{'job': 37};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;231.79;231.79;;;{'job': 38};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;231.79;231.79;;;{'job': 39};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;231.79;251.79;;;{'job': 40};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;234.41;236.88;{'job': 42};{'job': 43};;{'job': 42};;
job_arrival;236.88;238.0;{'job': 43};{'job': 44};;{'job': 43};;
job_arrival;238.0;240.3;{'job': 44};{'job': 45};;{'job': 44};;
job_arrival;240.3;244.89;{'job': 45};{'job': 46};;{'job': 45};;
job_arrival;244.89;252.52;{'job': 46};{'job': 47};;{'job': 46};;
transportation;251.79;251.79;;;{'job': 41};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;252.52;263.77;{'job': 47};{'job': 48};;{'job': 47};;
transportation;252.52;252.52;;;{'job': 42};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;252.52;252.52;;;{'job': 43};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;252.52;252.52;;;{'job': 44};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;252.52;252.52;;;{'job': 45};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;252.52;272.52;;;{'job': 46};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;263.77;275.88;{'job': 48};{'job': 49};;{'job': 48};;
job_arrival;275.88;277.19;{'job': 49};{'job': 50};;{'job': 49};;
job_arrival;277.19;280.64;{'job': 50};{'job': 51};;{'job': 50};;
job_arrival;280.64;301.33;{'job': 51};{'job': 52};;{'job': 51};;
transportation;280.64;280.64;;;{'job': 47};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;280.64;280.64;;;{'job': 48};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;280.64;280.64;;;{'job': 49};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;280.64;300.64;;;{'job': 50};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;301.33;303.34;{'job': 52};{'job': 53};;{'job': 52};;
job_arrival;303.34;304.87;{'job': 53};{'job': 54};;{'job': 53};;
job_arrival;304.87;307.82;{'job': 54};{'job': 55};;{'job': 54};;
job_arrival;307.82;308.31;{'job': 55};{'job': 56};;{'job': 55};;
job_arrival;308.31;310.13;{'job': 56};{'job': 57};;{'job': 56};;
job_arrival;310.13;314.73;{'job': 57};{'job': 58};;{'job': 57};;
transportation;310.13;310.13;;;{'job': 51};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;310.13;310.13;;;{'job': 52};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;310.13;310.13;;;{'job': 53};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;310.13;310.13;;;{'job': 54};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;310.13;310.13;;;{'job': 55};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;310.13;330.13;;;{'job': 56};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;314.73;319.66;{'job': 58};{'job': 59};;{'job': 58};;
job_arrival;319.66;319.77;{'job': 59};{'job': 60};;{'job': 59};;
job_arrival;319.77;332.41;{'job': 60};{'job': 61};;{'job': 60};;
job_arrival;332.41;334.47;{'job': 61};{'job': 62};;{'job': 61};;
transportation;332.41;332.41;;;{'job': 57};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;332.41;332.41;;;{'job': 58};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;332.41;332.41;;;{'job': 59};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;332.41;352.41;;;{'job': 60};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;334.47;348.58;{'job': 62};{'job': 63};;{'job': 62};;
job_arrival;348.58;369.55;{'job': 63};{'job': 64};;{'job': 63};;
job_arrival;369.55;375.55;{'job': 64};{'job': 65};;{'job': 64};;
job_arrival;375.55;378.42;{'job': 65};{'job': 66};;{'job': 65};;
transportation;375.55;375.55;;;{'job': 61};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;375.55;375.55;;;{'job': 62};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;375.55;375.55;;;{'job': 63};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;375.55;395.55;;;{'job': 64};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;378.42;380.32;{'job': 66};{'job': 67};;{'job': 66};;
job_arrival;380.32;391.64;{'job': 67};{'job': 68};;{'job': 67};;
job_arrival;391.64;392.38;{'job': 68};{'job': 69};;{'job': 68};;
job_arrival;392.38;406.29;{'job': 69};{'job': 70};;{'job': 69};;
transportation;395.55;395.55;;;{'job': 65};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;395.55;395.55;;;{'job': 66};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;395.55;395.55;;;{'job': 67};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;395.55;415.55;;;{'job': 68};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;406.29;410.7;{'job': 70};{'job': 71};;{'job': 70};;
job_arrival;410.7;411.19;{'job': 71};{'job': 72};;{'job': 71};;
job_arrival;411.19;443.91;{'job': 72};{'job': 73};;{'job': 72};;
job_arrival;443.91;447.83;{'job': 73};{'job': 74};;{'job': 73};;
transportation;443.91;443.91;;;{'job': 69};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;443.91;443.91;;;{'job': 70};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;443.91;443.91;;;{'job': 71};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;443.91;463.91;;;{'job': 72};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;447.83;449.29;{'job': 74};{'job': 75};;{'job': 74};;
job_arrival;449.29;450.62;{'job': 75};{'job': 76};;{'job': 75};;
job_arrival;450.62;450.83;{'job': 76};{'job': 77};;{'job': 76};;
job_arrival;450.83;450.93;{'job': 77};{'job': 78};;{'job': 77};;
job_arrival;450.93;459.97;{'job': 78};{'job': 79};;{'job': 78};;
job_arrival;459.97;460.75;{'job': 79};{'job': 80};;{'job': 79};;
job_arrival;460.75;464.08;{'job': 80};{'job': 81};;{'job': 80};;
transportation;463.91;463.91;;;{'job': 73};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;464.08;465.65;{'job': 81};{'job': 82};;{'job': 81};;
job_arrival;465.65;474.23;{'job': 82};{'job': 83};;{'job': 82};;
transportation;465.65;465.65;;;{'job': 74};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 75};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 76};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 77};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 78};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 79};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;465.65;;;{'job': 80};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;465.65;485.65;;;{'job': 81};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;474.23;484.11;{'job': 83};{'job': 84};;{'job': 83};;
job_arrival;484.11;487.71;{'job': 84};{'job': 85};;{'job': 84};;
job_arrival;487.71;490.09;{'job': 85};{'job': 86};;{'job': 85};;
job_arrival;490.09;507.85;{'job': 86};{'job': 87};;{'job': 86};;
transportation;490.09;490.09;;;{'job': 82};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;490.09;490.09;;;{'job': 83};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;490.09;490.09;;;{'job': 84};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;490.09;510.09;;;{'job': 85};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;507.85;518.7;{'job': 87};{'job': 88};;{'job': 87};;
job_arrival;518.7;519.23;{'job': 88};{'job': 89};;{'job': 88};;
job_arrival;519.23;524.01;{'job': 89};{'job': 90};;{'job': 89};;
job_arrival;524.01;524.36;{'job': 90};{'job': 91};;{'job': 90};;
job_arrival;524.36;531.65;{'job': 91};{'job': 92};;{'job': 91};;
transportation;524.36;524.36;;;{'job': 86};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;524.36;524.36;;;{'job': 87};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;524.36;524.36;;;{'job': 88};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;524.36;524.36;;;{'job': 89};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;524.36;544.36;;;{'job': 90};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;531.65;541.58;{'job': 92};{'job': 93};;{'job': 92};;
job_arrival;541.58;555.8;{'job': 93};{'job': 94};;{'job': 93};;
job_arrival;555.8;556.75;{'job': 94};{'job': 95};;{'job': 94};;
job_arrival;556.75;577.36;{'job': 95};{'job': 96};;{'job': 95};;
transportation;556.75;556.75;;;{'job': 91};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;556.75;556.75;;;{'job': 92};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;556.75;556.75;;;{'job': 93};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;556.75;576.75;;;{'job': 94};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;577.36;593.5;{'job': 96};{'job': 97};;{'job': 96};;
