event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>;r2<incoming>;r2<outgoing>
pre_processing;200.4;205.4;{'job': 33};{'job': 34};;{'job': 33};{'machine_id': 1};{'machine_id': 1};;
processing;202.5;203.51;;;{'job': 29};;;;{'machine_id': 2};{'machine_id': 2}
processing;203.51;211.27;;;{'job': 30};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;205.4;210.4;{'job': 34};{'job': 35};;{'job': 34};{'machine_id': 1};{'machine_id': 1};;
pre_processing;210.4;215.4;{'job': 35};{'job': 36};;{'job': 35};{'machine_id': 1};{'machine_id': 1};;
processing;211.27;216.85;;;{'job': 31};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;215.4;220.4;{'job': 36};{'job': 37};;{'job': 36};{'machine_id': 1};{'machine_id': 1};;
processing;216.85;230.25;;;{'job': 32};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;220.4;225.4;{'job': 37};{'job': 38};;{'job': 37};{'machine_id': 1};{'machine_id': 1};;
processing;230.25;233.91;;;{'job': 33};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;230.25;235.25;{'job': 38};{'job': 39};;{'job': 38};{'machine_id': 1};{'machine_id': 1};;
processing;233.91;256.2;;;{'job': 34};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;235.25;240.25;{'job': 39};{'job': 40};;{'job': 39};{'machine_id': 1};{'machine_id': 1};;
processing;256.2;287.59;;;{'job': 35};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;256.2;261.2;{'job': 40};{'job': 41};;{'job': 40};{'machine_id': 1};{'machine_id': 1};;
processing;287.59;291.75;;;{'job': 36};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;287.59;292.59;{'job': 41};{'job': 42};;{'job': 41};{'machine_id': 1};{'machine_id': 1};;
processing;291.75;300.06;;;{'job': 37};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;292.59;297.59;{'job': 42};{'job': 43};;{'job': 42};{'machine_id': 1};{'machine_id': 1};;
processing;300.06;302.33;;;{'job': 38};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;300.06;305.06;{'job': 43};{'job': 44};;{'job': 43};{'machine_id': 1};{'machine_id': 1};;
processing;302.33;304.32;;;{'job': 39};;;;{'machine_id': 2};{'machine_id': 2}
processing;304.32;311.86;;;{'job': 40};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;305.06;310.06;{'job': 44};{'job': 45};;{'job': 44};{'machine_id': 1};{'machine_id': 1};;
pre_processing;310.06;315.06;{'job': 45};{'job': 46};;{'job': 45};{'machine_id': 1};{'machine_id': 1};;
processing;311.86;313.38;;;{'job': 41};;;;{'machine_id': 2};{'machine_id': 2}
processing;313.38;314.47;;;{'job': 42};;;;{'machine_id': 2};{'machine_id': 2}
processing;314.47;320.04;;;{'job': 43};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;315.06;320.06;{'job': 46};{'job': 47};;{'job': 46};{'machine_id': 1};{'machine_id': 1};;
processing;320.04;324.72;;;{'job': 44};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;320.06;325.06;{'job': 47};{'job': 48};;{'job': 47};{'machine_id': 1};{'machine_id': 1};;
processing;324.72;340.52;;;{'job': 45};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;325.06;330.06;{'job': 48};{'job': 49};;{'job': 48};{'machine_id': 1};{'machine_id': 1};;
pre_processing;330.06;335.06;{'job': 49};{'job': 50};;{'job': 49};{'machine_id': 1};{'machine_id': 1};;
pre_processing;335.06;340.06;{'job': 50};{'job': 51};;{'job': 50};{'machine_id': 1};{'machine_id': 1};;
processing;340.52;345.11;;;{'job': 46};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;340.52;345.52;{'job': 51};{'job': 52};;{'job': 51};{'machine_id': 1};{'machine_id': 1};;
processing;345.11;346.78;;;{'job': 47};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;345.52;350.52;{'job': 52};{'job': 53};;{'job': 52};{'machine_id': 1};{'machine_id': 1};;
processing;346.78;351.46;;;{'job': 48};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;350.52;355.52;{'job': 53};{'job': 54};;{'job': 53};{'machine_id': 1};{'machine_id': 1};;
processing;351.46;360.29;;;{'job': 49};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;355.52;360.52;{'job': 54};{'job': 55};;{'job': 54};{'machine_id': 1};{'machine_id': 1};;
processing;360.29;368.09;;;{'job': 50};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;360.52;365.52;{'job': 55};{'job': 56};;{'job': 55};{'machine_id': 1};{'machine_id': 1};;
processing;368.09;368.73;;;{'job': 51};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;368.09;373.09;{'job': 56};{'job': 57};;{'job': 56};{'machine_id': 1};{'machine_id': 1};;
processing;368.73;375.18;;;{'job': 52};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;373.09;378.09;{'job': 57};{'job': 58};;{'job': 57};{'machine_id': 1};{'machine_id': 1};;
processing;375.18;386.29;;;{'job': 53};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;378.09;383.09;{'job': 58};{'job': 59};;{'job': 58};{'machine_id': 1};{'machine_id': 1};;
processing;386.29;396.69;;;{'job': 54};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;386.29;391.29;{'job': 59};{'job': 60};;{'job': 59};{'machine_id': 1};{'machine_id': 1};;
processing;396.69;396.73;;;{'job': 55};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;396.69;401.69;{'job': 60};{'job': 61};;{'job': 60};{'machine_id': 1};{'machine_id': 1};;
processing;396.73;420.53;;;{'job': 56};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;401.69;406.69;{'job': 61};{'job': 62};;{'job': 61};{'machine_id': 1};{'machine_id': 1};;
processing;420.53;425.16;;;{'job': 57};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;420.53;425.53;{'job': 62};{'job': 63};;{'job': 62};{'machine_id': 1};{'machine_id': 1};;
processing;425.16;428.1;;;{'job': 58};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;425.53;430.53;{'job': 63};{'job': 64};;{'job': 63};{'machine_id': 1};{'machine_id': 1};;
processing;428.1;431.44;;;{'job': 59};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;430.53;435.53;{'job': 64};{'job': 65};;{'job': 64};{'machine_id': 1};{'machine_id': 1};;
processing;431.44;447.26;;;{'job': 60};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;435.53;440.53;{'job': 65};{'job': 66};;{'job': 65};{'machine_id': 1};{'machine_id': 1};;
processing;447.26;451.05;;;{'job': 61};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;447.26;452.26;{'job': 66};{'job': 67};;{'job': 66};{'machine_id': 1};{'machine_id': 1};;
processing;451.05;451.54;;;{'job': 62};;;;{'machine_id': 2};{'machine_id': 2}
processing;451.54;453.43;;;{'job': 63};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;452.26;457.26;{'job': 67};{'job': 68};;{'job': 67};{'machine_id': 1};{'machine_id': 1};;
processing;453.43;459.37;;;{'job': 64};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;457.26;462.26;{'job': 68};{'job': 69};;{'job': 68};{'machine_id': 1};{'machine_id': 1};;
processing;459.37;464.55;;;{'job': 65};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;462.26;467.26;{'job': 69};{'job': 70};;{'job': 69};{'machine_id': 1};{'machine_id': 1};;
processing;464.55;474.15;;;{'job': 66};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;467.26;472.26;{'job': 70};{'job': 71};;{'job': 70};{'machine_id': 1};{'machine_id': 1};;
pre_processing;472.26;477.26;{'job': 71};{'job': 72};;{'job': 71};{'machine_id': 1};{'machine_id': 1};;
processing;474.15;477.8;;;{'job': 67};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;477.26;482.26;{'job': 72};{'job': 73};;{'job': 72};{'machine_id': 1};{'machine_id': 1};;
processing;477.8;479.88;;;{'job': 68};;;;{'machine_id': 2};{'machine_id': 2}
processing;479.88;503.07;;;{'job': 69};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;482.26;487.26;{'job': 73};{'job': 74};;{'job': 73};{'machine_id': 1};{'machine_id': 1};;
pre_processing;487.26;492.26;{'job': 74};{'job': 75};;{'job': 74};{'machine_id': 1};{'machine_id': 1};;
processing;503.07;504.33;;;{'job': 70};;;;{'machine_id': 2};{'machine_id': 2}
